CEP,AGENCIA,SETEX
29500-000,0281-X,1-9
29500-000,0281-X,1-9
29730-000,1023-5,1-9
29730-000,1023-5,1-9
29730-000,1023-5,1-9
29730-000,1023-5,1-9
29301-185,0083-3,1-9
29307-070,0083-3,1-9
20300-190,0083-3,1-9
29313-295,0083-3,1-9
29152-271,1241-6,1-9
29144-017,1241-6,1-9
29151-780,1241-6,1-9
29150-590,1241-6,1-9
29146-635,1241-6,1-9
29146-635,1241-6,1-9
29157-290,1241-6,1-9
29146-040,1241-6,1-9
29144-017,1241-6,1-9
29158-212,1241-6,1-9
29157-290,1241-6,1-9
29700-400,0112-0,1-9
28701-540,0112-0,1-9
29701-260,0112-0,1-9
29260-000,1056-1,1-9
29560-000,0370-0 ,1-9
29560-000,0370-0 ,1-9
29200-043,0924-5,1-9
29280-000,4556-X,1-9
29690-000,2153-9,1-9
29901-060,0478-2,1-9
29345-000,3207-7 ,1-9
29480-000,1407-9 ,1-9
29480-000,1407-9 ,1-9
29830-000,0702-1 ,1-9
29830-000,0702-1 ,1-9
29830-000,0702-1 ,1-9
29285-000,4557-8 ,1-9
29285-000,4557-8 ,1-9
29745-000,4191-2 ,1-9
29780-000,0806-0 ,1-9
29470-000,4558-6 ,1-9
29945-380,0222-4 ,1-9
29946-450,0222-4 ,1-9
29947-010,0222-4 ,1-9
29936-350,0222-4 ,1-9
29941-030,0222-4 ,1-9
29650-000,0209-7 ,1-9
29162-018,1301-3 ,1-9
29164-886,1301-3 ,1-9
29182-537,1301-3 ,1-9
29295-000,3695-1 ,1-9
29785-000,3770-2 ,1-9
29785-000,3770-2 ,1-9
29103-525,1240-8 ,1-9
29107-010,1240-8 ,1-9
29124-238,1240-8 ,1-9
29120-340,1240-8 ,1-9
29102-217,1240-8 ,1-9
29103-525,1240-8 ,1-9
29103-525,1240-8 ,1-9
29055-250,1609-8 ,1-9
29018-310,1609-8 ,1-9
29025-760,1609-8 ,1-9
29065-420,1609-8 ,1-9
29027-540,1609-8 ,1-9
29032-546,1609-8 ,1-9
29032-840,1609-8 ,1-9
29062-020,1609-8 ,1-9
29023-155,1609-8 ,1-9
29060-490,1609-8 ,1-9
